yearID,teamID,teamIDBR,teamIDretro,name
1871,CL1,CLE,CL1,Cleveland Forest Citys
1871,RC1,ROK,RC1,Rockford Forest Citys
1872,CL1,CLE,CL1,Cleveland Forest Citys
1872,MID,MAN,MID,Middletown Mansfields
1872,PH1,ATH,PH1,Philadelphia Athletics
1873,BS1,BOS,BS1,Boston Red Stockings
1873,PH1,ATH,PH1,Philadelphia Athletics
1874,BS1,BOS,BS1,Boston Red Stockings
1874,PH1,ATH,PH1,Philadelphia Athletics
1875,BS1,BOS,BS1,Boston Red Stockings
1875,PH1,ATH,PH1,Philadelphia Athletics
1875,SL2,STL,SL2,St. Louis Brown Stockings
1876,BSN,BSN,BSN,Boston Red Caps
1876,CHN,CHC,CHN,Chicago White Stockings
1877,BSN,BSN,BSN,Boston Red Caps
1877,CHN,CHC,CHN,Chicago White Stockings
1878,BSN,BSN,BSN,Boston Red Caps
1878,CHN,CHC,CHN,Chicago White Stockings
1878,CN1,CIN,CN1,Cincinnati Reds
1878,PRO,PRO,PRO,Providence Grays
1879,BFN,BUF,BFN,Buffalo Bisons
1879,CHN,CHC,CHN,Chicago White Stockings
1879,CN1,CIN,CN1,Cincinnati Reds
1879,PRO,PRO,PRO,Providence Grays
1879,TRN,TRO,TRN,Troy Trojans
1880,BFN,BUF,BFN,Buffalo Bisons
1880,BSN,BSN,BSN,Boston Red Caps
1880,CHN,CHC,CHN,Chicago White Stockings
1880,CN1,CIN,CN4,Cincinnati Reds
1880,PRO,PRO,PRO,Providence Grays
1880,TRN,TRO,TRN,Troy Trojans
1881,BFN,BUF,BFN,Buffalo Bisons
1881,CHN,CHC,CHN,Chicago White Stockings
1881,PRO,PRO,PRO,Providence Grays
1881,TRN,TRO,TRN,Troy Trojans
1882,BFN,BUF,BFN,Buffalo Bisons
1882,CHN,CHC,CHN,Chicago White Stockings
1882,CN2,CIN,CN2,Cincinnati Red Stockings
1882,PRO,PRO,PRO,Providence Grays
1882,TRN,TRO,TRN,Troy Trojans
1882,WOR,WOR,WOR,Worcester Ruby Legs
1883,BFN,BUF,BFN,Buffalo Bisons
1883,CHN,CHC,CHN,Chicago White Stockings
1883,CN2,CIN,CN2,Cincinnati Red Stockings
1883,NY1,NYG,NY1,New York Gothams
1883,NY4,NYP,NY4,New York Metropolitans
1883,PRO,PRO,PRO,Providence Grays
1884,BFN,BUF,BFN,Buffalo Bisons
1884,BSU,BOS,BSU,Boston Reds
1884,CHN,CHC,CHN,Chicago White Stockings
1884,CN2,CIN,CN2,Cincinnati Red Stockings
1884,NY1,NYG,NY1,New York Gothams
1884,NY4,NYP,NY4,New York Metropolitans
1884,PRO,PRO,PRO,Providence Grays
1885,BFN,BUF,BFN,Buffalo Bisons
1885,BSN,BSN,BSN,Boston Beaneaters
1885,CHN,CHC,CHN,Chicago White Stockings
1885,CN2,CIN,CN2,Cincinnati Red Stockings
1885,DTN,DTN,DTN,Detroit Wolverines
1885,NY1,NYG,NY1,New York Giants
1885,PRO,PRO,PRO,Providence Grays
1885,PT1,PIT,PT1,Pittsburg Alleghenys
1886,BSN,BSN,BSN,Boston Beaneaters
1886,CHN,CHC,CHN,Chicago White Stockings
1886,CN2,CIN,CN2,Cincinnati Red Stockings
1886,DTN,DTN,DTN,Detroit Wolverines
1886,NY1,NYG,NY1,New York Giants
1886,PHI,PHI,PHI,Philadelphia Quakers
1886,PT1,PIT,PT1,Pittsburg Alleghenys
1887,BSN,BSN,BSN,Boston Beaneaters
1887,CHN,CHC,CHN,Chicago White Stockings
1887,CN2,CIN,CN2,Cincinnati Red Stockings
1887,DTN,DTN,DTN,Detroit Wolverines
1887,NY1,NYG,NY1,New York Giants
1887,PHI,PHI,PHI,Philadelphia Quakers
1887,PIT,PIT,PIT,Pittsburg Alleghenys
1888,BSN,BSN,BSN,Boston Beaneaters
1888,CHN,CHC,CHN,Chicago White Stockings
1888,CN2,CIN,CN2,Cincinnati Red Stockings
1888,DTN,DTN,DTN,Detroit Wolverines
1888,KC2,KCC,KC2,Kansas City Cowboys
1888,NY1,NYG,NY1,New York Giants
1888,PHI,PHI,PHI,Philadelphia Quakers
1888,PIT,PIT,PIT,Pittsburg Alleghenys
1888,SL4,STL,SL4,St. Louis Browns
